genus	mean.weight
Bulleidia	-0.015915660060256825
CAG-793	-0.016241392771325764
Vagococcus	-0.016519206925763613
Erwinia	-0.01726192020201716
Choladocola	-0.01674003761509563
Eggerthella	-0.01738847120331283
GCA-900066755	-0.01678753592519863
Nanosynbacter	-0.016975651651016943
Rahnella	-0.017452299722043676
Pseudoflavonifractor	-0.017905544334057003
Kluyvera	-0.01729884969877508
Psychrobacter	-0.017865284982162374
Dietzia	-0.01849893611588284
Gemmiger	-0.01835917963694285
Gemella	-0.0188687593292399
Enterococcus_A	-0.01894602373498599
Limivivens	-0.018804235478245876
CAG-272	-0.01925061234099379
Mesorhizobium	-0.02033867152579591
Scatomorpha	-0.02042112350769376
Eubacterium_J	-0.02008067659440836
Merdimonas	-0.020669610193727674
CAG-632	-0.021060380411012856
Comamonas	-0.02153886441949975
Acinetobacter	-0.021195116355202055
Stoquefichus	-0.022411716050881783
Asticcacaulis	-0.02204716864500276
UMGS1864	-0.022787650796902106
Anaerofustis	-0.02295516724576637
Microcystis	-0.0230803987688495
Clostridium_Q	-0.022669275950931926
Fimiplasma	-0.022787282726294402
CAG-465	-0.023722479178867474
Sphingomonas	-0.023682975690565884
Faecalitalea	-0.023743687284606116
Succinatimonas	-0.023862201642861288
Schaedlerella	-0.024225178566947347
Clostridium_AQ	-0.02448079218007175
Longibaculum	-0.024832329575035644
Paraprevotella	-0.025044670121844494
UMGS1326	-0.025365715254601028
Faecisoma	-0.02537126802592349
Agrobacterium	-0.026410686698824935
Faecousia	-0.026080103310795712
Massilicoli	-0.027634002831185316
Paraburkholderia	-0.027943530217798277
CAG-302	-0.0278058561434864
CAG-317	-0.027589171695164706
CAG-115	-0.027875140948647233
Evtepia	-0.02819525469353961
Mycobacterium	-0.027982948387846738
Pygmaiobacter	-0.028001737845634443
CAG-83	-0.02880140238574292
UMGS1795	-0.0281585983310925
DYL19	-0.029662004587245334
Onthocola_B	-0.029265875768519366
Bifidobacterium	-0.029457003076054603
Merdibacter	-0.03144647689323214
Paracoccus	-0.03183731813850997
RUG115	-0.03166909975458575
Wolbachia	-0.0309752268710298
CAG-873	-0.032657839462566694
Neobittarella	-0.032877435342643674
Holdemanella	-0.033083504084058225
Mesotoga	-0.03334733856042762
MGBC100798	-0.03283369375172493
CAG-217	-0.03301642933047954
Succinivibrio	-0.03341893551987268
W11650	-0.03350613216251029
Flavonifractor	-0.03342918125553712
UBA1206	-0.033956889975107186
VUNI01	-0.034065241171418965
