Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study
SRR34844407,AMPLICON,570,17011650,PRJNA1300638,SAMN50421281,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10195335,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976420,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103021-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Placebo_103021,2025-08-02T05:07:00Z,1,103021-2-1,SRP605981
SRR34844408,AMPLICON,570,22107450,PRJNA1300638,SAMN50421280,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",13078463,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976419,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103021-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Placebo_103021,2025-08-02T05:08:00Z,1,103021-1-1,SRP605981
SRR34844409,AMPLICON,570,17601030,PRJNA1300638,SAMN50421279,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10431732,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976418,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103019-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Treatment_103019,2025-08-02T05:08:00Z,1,103019-3-1,SRP605981
SRR34844410,AMPLICON,570,16030680,PRJNA1300638,SAMN50421278,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9548295,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976417,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103019-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Treatment_103019,2025-08-02T05:08:00Z,1,103019-2-1,SRP605981
SRR34844411,AMPLICON,570,20960610,PRJNA1300638,SAMN50421277,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",12515002,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976416,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103019-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Treatment_103019,2025-08-02T05:08:00Z,1,103019-1-1,SRP605981
SRR34844412,AMPLICON,570,18379650,PRJNA1300638,SAMN50421276,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10746067,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976415,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103018-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Treatment_103018,2025-08-02T05:07:00Z,1,103018-3-1,SRP605981
SRR34844413,AMPLICON,570,21180630,PRJNA1300638,SAMN50421275,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",12522369,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976414,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103018-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Treatment_103018,2025-08-02T05:08:00Z,1,103018-2-1,SRP605981
SRR34844414,AMPLICON,570,19915230,PRJNA1300638,SAMN50421274,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11734681,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976413,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103018-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Treatment_103018,2025-08-02T05:08:00Z,1,103018-1-1,SRP605981
SRR34844415,AMPLICON,570,19426170,PRJNA1300638,SAMN50421273,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11753434,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976412,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102948-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Treatment_102948,2025-08-02T05:08:00Z,1,102948-3-1,SRP605981
SRR34844416,AMPLICON,570,19592040,PRJNA1300638,SAMN50421102,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11846117,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976411,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102605-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Treatment_102605,2025-08-02T05:08:00Z,1,102605-3-1,SRP605981
SRR34844417,AMPLICON,570,17532060,PRJNA1300638,SAMN50421272,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10674047,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976410,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102948-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Treatment_102948,2025-08-02T05:07:00Z,1,102948-2-1,SRP605981
SRR34844418,AMPLICON,570,16735770,PRJNA1300638,SAMN50421271,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10107351,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976409,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102948-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Treatment_102948,2025-08-02T05:08:00Z,1,102948-1-1,SRP605981
SRR34844419,AMPLICON,570,15302790,PRJNA1300638,SAMN50421270,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9248920,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976408,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102844-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Placebo_102844,2025-08-02T05:07:00Z,1,102844-3-1,SRP605981
SRR34844420,AMPLICON,570,14651850,PRJNA1300638,SAMN50421269,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8790311,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976407,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102844-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Placebo_102844,2025-08-02T05:08:00Z,1,102844-2-1,SRP605981
SRR34844421,AMPLICON,570,20111310,PRJNA1300638,SAMN50421268,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11880416,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976406,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102844-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Placebo_102844,2025-08-02T05:08:00Z,1,102844-1-1,SRP605981
SRR34844422,AMPLICON,570,21368730,PRJNA1300638,SAMN50421267,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",12897480,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976405,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102843-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Treatment_102843,2025-08-02T05:07:00Z,1,102843-3-1,SRP605981
SRR34844423,AMPLICON,570,15598620,PRJNA1300638,SAMN50421266,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9363372,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976404,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102843-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Treatment_102843,2025-08-02T05:08:00Z,1,102843-2-1,SRP605981
SRR34844424,AMPLICON,570,11985390,PRJNA1300638,SAMN50421265,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8254104,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976403,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102843-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Treatment_102843,2025-08-02T05:08:00Z,1,102843-1-1,SRP605981
SRR34844425,AMPLICON,570,15756510,PRJNA1300638,SAMN50421264,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9401853,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976402,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102841-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Placebo_102841,2025-08-02T05:07:00Z,1,102841-3-1,SRP605981
