Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR412461,AMPLICON,601,9785389,PRJDB14539,SAMD00548503,MIMARKS.survey.human-gut,5754488,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398062,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:09:00Z,1,SAMD00548503,T_15_4w,DRP009232
DRR412462,AMPLICON,601,11478554,PRJDB14539,SAMD00548504,MIMARKS.survey.human-gut,6688522,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398063,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:09:00Z,1,SAMD00548504,C_16_0w,DRP009232
DRR412463,AMPLICON,601,11972409,PRJDB14539,SAMD00548505,MIMARKS.survey.human-gut,6979039,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398064,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:12:00Z,1,SAMD00548505,C_16_4w,DRP009232
DRR412464,AMPLICON,601,10015975,PRJDB14539,SAMD00548506,MIMARKS.survey.human-gut,5867581,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398065,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:07:00Z,1,SAMD00548506,T_17_0w,DRP009232
DRR412465,AMPLICON,601,11239390,PRJDB14539,SAMD00548507,MIMARKS.survey.human-gut,6501089,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398066,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548507,T_17_4w,DRP009232
DRR412466,AMPLICON,601,11295302,PRJDB14539,SAMD00548508,MIMARKS.survey.human-gut,6611250,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398067,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:06:00Z,1,SAMD00548508,T_18_0w,DRP009232
DRR412467,AMPLICON,601,10702342,PRJDB14539,SAMD00548509,MIMARKS.survey.human-gut,6214995,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398068,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:11:00Z,1,SAMD00548509,T_18_4w,DRP009232
DRR412468,AMPLICON,601,11126750,PRJDB14539,SAMD00548510,MIMARKS.survey.human-gut,6582382,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398069,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:12:00Z,1,SAMD00548510,C_19_0w,DRP009232
DRR412469,AMPLICON,601,11838942,PRJDB14539,SAMD00548511,MIMARKS.survey.human-gut,6903339,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398070,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:07:00Z,1,SAMD00548511,C_19_4w,DRP009232
DRR412470,AMPLICON,601,11898015,PRJDB14539,SAMD00548512,MIMARKS.survey.human-gut,6970856,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398071,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548512,C_20_0w,DRP009232
