Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Filename,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR13759239,WGS,300,6788516100,PRJNA703757,SAMN18023152,Metagenome or environmental,2363954455,HANS KNOLL INSTITUTE,2017,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX10146057,CS015V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS015V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:08:00Z,1,CS015V5,SRP307400
SRR13759240,WGS,300,6103837800,PRJNA703757,SAMN18023196,Metagenome or environmental,2008567642,HANS KNOLL INSTITUTE,2017,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX10146056,CS094V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS094V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:01:00Z,1,CS094V5,SRP307400
SRR13759241,WGS,300,6502355400,PRJNA703757,SAMN18023195,Metagenome or environmental,2124180220,HANS KNOLL INSTITUTE,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10146055,CS094V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS094V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:07:00Z,1,CS094V1,SRP307400
SRR13759242,WGS,300,6575519100,PRJNA703757,SAMN18023194,Metagenome or environmental,2156002893,HANS KNOLL INSTITUTE,2017,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX10146054,CS092V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS092V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:13:00Z,1,CS092V5,SRP307400
SRR13759243,WGS,300,5631585900,PRJNA703757,SAMN18023193,Metagenome or environmental,1834871838,HANS KNOLL INSTITUTE,2017,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10146053,CS092V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS092V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:15:00Z,1,CS092V1,SRP307400
SRR13759244,WGS,300,6320022600,PRJNA703757,SAMN18023192,Metagenome or environmental,2085337823,HANS KNOLL INSTITUTE,2017,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX10146052,CS091V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS091V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:08:00Z,1,CS091V5,SRP307400
SRR13759245,WGS,300,7486479600,PRJNA703757,SAMN18023191,Metagenome or environmental,2459469928,HANS KNOLL INSTITUTE,2017,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX10146051,CS091V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS091V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:06:00Z,1,CS091V1,SRP307400
SRR13759246,WGS,300,5719439700,PRJNA703757,SAMN18023190,Metagenome or environmental,1863103910,HANS KNOLL INSTITUTE,2017,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX10146050,CS090V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS090V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:06:00Z,1,CS090V5,SRP307400
SRR13759247,WGS,300,5805581400,PRJNA703757,SAMN18023189,Metagenome or environmental,1888547372,HANS KNOLL INSTITUTE,2017,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX10146049,CS090V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS090V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:11:00Z,1,CS090V1,SRP307400
SRR13759248,WGS,300,5863923600,PRJNA703757,SAMN18023188,Metagenome or environmental,1919197241,HANS KNOLL INSTITUTE,2017,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX10146048,CS086V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS086V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:13:00Z,1,CS086V5,SRP307400
