feature	SRR15511253	SRR15511254	SRR15511255	SRR15511256	SRR15511257	SRR15511258	SRR15511259	SRR15511260	SRR15511261	SRR15511262	SRR15511263	SRR15511264	SRR15511265	SRR15511266	SRR15511267	SRR15511268	SRR15511269	SRR15511270	SRR15511271	SRR15511272	SRR15511273	SRR15511274	SRR15511275	SRR15511276	SRR15511277	SRR15511278	SRR15511279	SRR15511280	SRR15511281	SRR15511282	SRR15511283	SRR15511284	SRR15511285	SRR15511286	SRR15511287
ko:K00690	97.25046	243.54652	158.77804	76.22868	353.62231	257.8832	422.21761	180.06896	149.9866	190.63822	356.44286	69.09595	362.59886	280.91911	304.92799	31.42225	105.38684	141.93319	69.79712	353.06679	163.64282	234.12789	216.97819	73.47979	79.33812	217.57179	283.90693	984.79698	274.81376	78.41431	232.95476	153.65267	104.99963	331.2708	290.75155
ko:K00691	862.44256	856.25196	758.91047	1940.52642	2457.37521	621.53985	2481.51624	2191.00255	562.19086	2647.97676	1639.11944	1085.10572	1080.32758	1772.22819	2337.12216	463.84858	2619.89714	3832.65818	3199.22869	2233.55048	1564.04948	3135.64326	1439.48575	524.5829	858.69015	1533.59969	2522.99839	1088.79225	643.96531	868.55751	1382.33315	1119.80808	700.84858	2313.5288	1474.29692
ko:K00692	171.11608	35.62824	18.53579	14.41499	26.94154	69.52741	49.76289	51.81642	37.22644	8.2466	11.58588	30.16542	66.34809	18.01231	38.11598	0.42432	10.90548	29.17873	20.15713	39.23692	52.72018	69.90185	31.07278	28.28943	21.71694	31.65871	15.43461	93.28971	76.70061	39.45338	27.91024	35.97623	35.23857	23.65749	27.21716
ko:K00693	186.93574	429.34458	317.72121	1193.53319	642.67569	117.68471	1782.66955	1482.46169	254.22371	791.44132	420.00053	669.02395	373.59314	722.71538	1790.96674	327.35543	1989.58267	959.46267	997.75998	834.50823	548.93611	1270.60844	733.63234	231.11151	457.32381	1367.98435	1126.01751	740.79522	452.26472	542.91865	910.68173	928.79328	186.38333	709.21013	465.28195
ko:K00694	8.71054	32.70552	52.16115	121.70389	101.07917	15.9401	408.69035	138.00493	71.47606	51.9359	43.14527	24.37685	43.06048	23.74374	35.04193	2.4533	17.12884	71.78979	44.73568	60.9585	73.09489	302.19478	32.98694	31.58936	15.59738	10.1393	14.65815	50.34882	37.76166	309.27394	41.29634	11.93484	14.33824	30.42738	22.84924
ko:K00695	NA	NA	NA	NA	NA	1.4338	NA	NA	1.57666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K00697	2.75995	1.43373	7.41899	18.43651	11.93311	7.68634	63.84147	22.80135	NA	NA	NA	0.45067	6.30793	2.07504	2.23618	NA	0.97317	42.48523	8.352	5.78259	3.90358	27.90718	0.91084	0.36502	1.09151	2.82749	1.65806	6.77616	6.32451	NA	NA	NA	NA	0.1793	53.52779
ko:K00698	NA	NA	3.26047	NA	NA	NA	2.04122	3.22288	0.24273	NA	NA	NA	NA	NA	12.19534	NA	NA	NA	NA	2.30442	28.40435	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48437	3.09568	12.079	NA	NA
ko:K00699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.08247	NA	NA	NA	NA	NA
ko:K00700	2814.38763	1848.3466	1787.38533	2521.05437	2461.24944	2423.01194	5439.88256	4127.39971	1729.04045	1413.45832	2896.80796	1057.13517	2900.86447	2396.38448	3967.77061	563.00457	3110.09017	3276.53612	1958.86076	2992.379	2871.02858	3006.62744	1962.13026	1278.55397	1046.80166	2497.78128	2142.59747	3452.54816	2511.25104	2413.10191	2587.54337	2537.74909	1185.1837	1635.42711	1840.29808
ko:K00701	19.44652	8.87926	3.73972	0.24183	15.7412	7.49407	30.90421	54.08784	5.44204	15.39256	12.87336	1.72821	45.70225	24.06478	35.0096	2.20178	7.64012	NA	NA	17.49887	14.22673	0.1437	3.6348	14.07344	NA	NA	3.14067	2.82874	5.73944	22.84361	34.94378	1.42261	20.38823	NA	2.64886
