Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,samp_mat_process,Sample Name,sample_type,source_material_id,SRA Study,timepoint,treatment
SRR10204271,AMPLICON,602,29849568,PRJNA564636,SAMN12718884,Metagenome or environmental,16791570,UNIVERSITY OF ALBERTA,2016-09-22,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX6924278,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M217W6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M217W6,feces,4M217W6,SRP223742,Week6,Arabinoxylan
SRR10204272,AMPLICON,602,25645200,PRJNA564636,SAMN12718869,Metagenome or environmental,15753955,UNIVERSITY OF ALBERTA,2016-08-19,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX6924277,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M217W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M217W1,feces,4M217W1,SRP223742,Week1,Arabinoxylan
SRR10204273,AMPLICON,602,28597408,PRJNA564636,SAMN12718854,Metagenome or environmental,16686409,UNIVERSITY OF ALBERTA,2016-08-12,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX6924276,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M217BL,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M217BL,feces,4M217BL,SRP223742,Baseline,Arabinoxylan
SRR10204274,AMPLICON,602,37749614,PRJNA564636,SAMN12718931,Metagenome or environmental,21161773,UNIVERSITY OF ALBERTA,2016-09-02,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX6924275,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M215W6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M215W6,feces,1M215W6,SRP223742,Week6,MCC (Control)
SRR10204275,AMPLICON,602,22570184,PRJNA564636,SAMN12718915,Metagenome or environmental,13888978,UNIVERSITY OF ALBERTA,2016-07-27,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX6924274,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M215W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M215W1,feces,1M215W1,SRP223742,Week1,MCC (Control)
SRR10204276,AMPLICON,602,31240188,PRJNA564636,SAMN12718904,Metagenome or environmental,17541648,UNIVERSITY OF ALBERTA,2016-02-05,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX6924273,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1F015W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1F015W1,feces,1F015W1,SRP223742,Week1,MCC (Control)
SRR10204277,AMPLICON,602,26763716,PRJNA564636,SAMN12718899,Metagenome or environmental,15477432,UNIVERSITY OF ALBERTA,2016-07-21,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX6924272,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M215BL,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M215BL,feces,1M215BL,SRP223742,Baseline,MCC (Control)
SRR10204278,AMPLICON,602,33383308,PRJNA564636,SAMN12718930,Metagenome or environmental,18776385,UNIVERSITY OF ALBERTA,2016-07-29,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX6924271,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M212W6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M212W6,feces,1M212W6,SRP223742,Week6,MCC (Control)
SRR10204279,AMPLICON,602,30952432,PRJNA564636,SAMN12718914,Metagenome or environmental,17995810,UNIVERSITY OF ALBERTA,2016-06-24,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX6924270,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M212W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M212W1,feces,1M212W1,SRP223742,Week1,MCC (Control)
SRR10204280,AMPLICON,602,28062832,PRJNA564636,SAMN12718898,Metagenome or environmental,16548804,UNIVERSITY OF ALBERTA,2016-06-15,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX6924269,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M212BL,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M212BL,feces,1M212BL,SRP223742,Baseline,MCC (Control)
