feature	ERR2587706	ERR2587707	ERR2587708	ERR2587709	ERR2587710	ERR2587711	ERR2587712	ERR2587713	ERR2587714	ERR2587715	ERR2587716	ERR2587717	ERR2587718	ERR2587719	ERR2587720	ERR2587721	ERR2587722	ERR2587723	ERR2587724	ERR2587725	ERR2587726	ERR2587727	ERR2587728	ERR2587729	ERR2587730	ERR2587731	ERR2587732	ERR2587733	ERR2587734	ERR2587735	ERR2587736	ERR2587737	ERR2587738	ERR2587739	ERR2587740	ERR2587741	ERR2587742	ERR2587743	ERR2587744	ERR2587745	ERR2587746	ERR2587747	ERR2587748	ERR2587749	ERR2587750	ERR2587752	ERR2587753	ERR2587754	ERR2587755	ERR2587756	ERR2587757	ERR2587758	ERR2587759	ERR2587760	ERR2587762	ERR2587763	ERR2587764	ERR2587765	ERR2587766	ERR2587767	ERR2587768	ERR2587769	ERR2587770	ERR2587771	ERR2587772	ERR2587773	ERR2587774	ERR2587775	ERR2587776	ERR2587777	ERR2587778	ERR2587779	ERR2587780	ERR2587781	ERR2587782	ERR2587783	ERR2587784	ERR2587785	ERR2587786	ERR2587787	ERR2587788	ERR2587789	ERR2587790	ERR2587791	ERR2587792	ERR2587793	ERR2587794	ERR2587795	ERR2587796	ERR2587797	ERR2587798	ERR2587799	ERR2587800	ERR2587801	ERR2587802	ERR2587803	ERR2587804	ERR2587805	ERR2587806	ERR2587807	ERR2587808	ERR2587809	ERR2587810	ERR2587811	ERR2587812	ERR2587813	ERR2587814	ERR2587815	ERR2587816	ERR2587817	ERR2587818	ERR2587819	ERR2587820	ERR2587821
GH30_8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.84254	0.93807	3.64881	0.9711	4.20305	1.68501	3.33588	0.17642	3.34235	0.11621	5.39505	6.72289	4.73019	NA	6.11828	2.49072	3.37185	0.21417	4.02532	0.17749	0.53097	2.48987	2.82973	0.69749	7.11001	6.70304	0.73738	1.399	NA	1.31933	0.52017	0.80556	1.46579	1.14227	2.75687	2.36078	0.27914	1.68405	1.91727	2.52153	0.70395	20.23185	6.52298	0.2046	0.81932	1.65836	6.17878	2.21763	1.07303	1.6302	21.7703	6.99993	1.96269	3.03173	2.88648	1.39412	0.79637	2.47024
GH30_9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24137	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.15303	NA	NA	2.41372	1.76145	NA	NA	NA	NA	NA	NA	NA	NA	0.57188	1.54072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03751	NA	NA
GH31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	912.63702	670.0538	704.02734	786.35676	639.01209	586.08474	606.36112	851.56047	1024.82368	1117.10428	881.9709	597.49089	647.9394	485.9825	661.29791	603.68495	727.49623	823.2417	929.68396	956.36306	430.00637	651.12001	679.95322	524.81228	973.31648	819.92869	750.10274	800.24133	680.11424	563.98371	583.30352	726.42563	633.91442	793.8427	871.44892	727.55085	769.69058	762.18456	571.56041	707.89165	869.06677	854.36726	666.1031	684.18082	762.3044	850.52705	624.37133	400.55041	683.21358	800.42265	843.70518	610.35235	730.04054	778.09286	774.20685	659.47029	526.74978	637.27816
GH32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	466.98025	363.36773	247.99476	433.99403	552.80459	368.54497	286.13266	621.77969	583.73828	585.32119	462.33527	262.86804	212.11241	291.93904	483.67107	513.30961	469.44921	529.22225	463.76415	572.62844	277.25681	398.16694	463.39486	350.35202	517.36257	399.40492	424.94705	539.70817	462.89177	289.36128	368.33515	393.22378	399.96199	470.0892	461.45892	374.08127	592.58567	483.24373	446.52505	341.88372	476.58493	412.09605	352.70682	348.90513	441.27659	599.09942	434.88442	222.04774	332.37581	335.44191	422.51317	389.04876	491.23753	385.34133	498.56525	381.23191	193.95912	306.80607
GH33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	253.7006	58.97787	490.71916	148.92002	300.58033	135.07017	159.60492	94.47504	243.46596	172.3544	210.81547	266.5747	458.85177	202.28924	318.65432	213.60693	232.98836	105.93051	256.82433	135.85007	140.37856	199.2868	132.34027	151.81074	210.08505	304.89385	160.10837	386.63046	198.81061	249.82985	101.10779	226.3051	151.87408	189.22465	234.69441	254.47486	190.12729	291.86411	203.64696	162.52623	74.28741	168.09122	139.15134	343.69313	136.26423	202.8989	108.58764	174.51681	111.07572	73.45018	247.84376	107.32049	272.78852	142.79592	197.50813	100.06895	408.29275	139.9562
GH34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.02115	NA	1.34272	0.46188	1.26017	NA	NA	NA	NA	NA	0.49069	0.54462	0.65327	NA	NA	NA	NA	NA	0.48627	NA	NA	NA	NA	NA	NA	NA	0.46653	NA	NA	NA	NA	NA	NA	0.60232	NA	NA	0.44974	NA	NA	0.4623	NA	NA	NA	1.11965	NA	NA	NA	NA	NA	NA	NA	0.48655	NA	NA	NA	NA	NA
GH35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	202.92657	170.38162	316.48893	155.30071	134.1557	97.66802	122.90094	99.65778	235.71174	170.82926	132.63513	177.08016	280.07916	129.55746	178.15989	171.57165	190.27834	93.35524	223.34087	149.48996	90.3572	117.46184	144.01156	122.5717	251.25705	176.65619	102.05979	197.86617	189.36737	172.11482	82.73643	127.54317	144.6786	169.93463	220.85037	155.26333	105.73229	184.58196	125.6542	141.94568	119.30485	156.26909	123.59602	275.88961	110.44859	242.13761	195.45321	75.35255	180.0271	150.76316	181.0018	99.52101	189.60807	99.45641	233.43378	196.1027	207.68461	166.29205
GH36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	428.73507	452.37008	437.18065	517.56864	521.24014	521.22323	352.48231	587.27994	561.81174	597.94865	449.97196	414.18528	400.27355	468.36449	491.75795	648.52956	673.7817	478.51727	499.58232	518.93453	614.21791	520.27881	532.5367	448.99127	635.83091	444.3607	504.43123	871.097	508.12085	421.0149	624.8807	503.40627	532.89965	675.37832	475.45201	407.95721	428.89645	744.72406	510.65938	462.88281	567.64401	503.49563	538.17382	426.33794	507.37791	852.62332	693.04741	241.08466	341.94937	384.98945	516.19322	536.95217	389.61376	497.27771	620.96173	417.19185	301.17535	339.70553
GH37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.92211	18.42707	10.86623	11.68653	3.52232	45.64357	15.49252	1.87421	6.67018	4.25256	9.81841	17.78306	9.1907	16.35092	4.42111	12.94501	14.70521	10.80452	3.92517	1.5061	38.6098	15.7751	17.87791	17.37489	6.72341	20.00958	8.29107	8.86864	13.31514	3.9349	5.25747	23.19296	16.53187	5.95684	12.17452	36.77981	4.38112	11.55854	15.46307	5.95595	6.93407	9.0727	8.38891	4.72257	7.62598	5.27554	4.64898	4.54796	28.85413	12.60972	7.35047	5.40886	9.7405	10.88617	5.45606	3.92281	9.12067	17.20424
GH38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	146.82966	281.07849	173.47234	124.63286	70.97215	145.73832	211.71716	43.10811	234.31272	230.9495	178.89378	126.66971	195.78529	128.61687	84.55358	117.6603	108.67717	59.40687	164.22896	136.32189	205.0145	179.00218	114.29433	155.28831	165.52792	177.13146	134.14711	56.06284	183.27913	158.37816	141.17411	162.74745	147.4376	79.20049	188.39578	178.3197	156.23919	63.45564	126.95805	145.06437	166.20839	128.13695	114.0665	189.41312	132.70701	177.37965	94.08854	106.78943	213.84286	206.5097	157.45658	82.85098	106.3309	145.05241	212.0932	321.39174	100.09514	172.58648
GH39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	115.72117	125.31157	57.95237	72.41264	154.39531	63.98244	61.86428	94.19242	134.99124	116.25086	119.2309	35.02512	98.24686	78.77087	130.92325	47.74308	53.83801	39.3852	71.81264	20.40151	219.82964	113.37702	94.65385	56.6007	90.02708	78.98213	122.12053	48.38855	56.30867	69.81025	61.50541	107.43985	97.10906	82.65125	79.18767	44.29182	47.89133	92.05476	40.09507	52.70756	63.11042	88.34499	116.65723	79.16041	107.85454	18.86813	22.3711	42.83616	50.00677	59.4298	77.059	174.51213	64.63395	92.64399	22.88054	32.88496	38.94102	59.69062
GH4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	130.4683	207.47681	154.90285	184.83519	93.79126	168.05496	133.00649	110.42802	95.18998	208.07386	160.37716	116.59809	179.82694	201.22368	88.8689	209.02569	174.40557	103.33602	68.54486	239.37021	181.90033	239.75351	150.45725	241.15001	135.39219	116.3956	157.45563	267.33009	105.24381	137.67607	193.22639	187.20802	172.53634	178.69955	179.10808	140.26831	100.55216	271.03996	157.21478	118.64396	233.18741	144.68324	103.83532	144.30059	199.42796	253.47581	181.35059	112.76116	187.80282	197.98782	148.14156	100.0421	136.19189	219.37395	163.1324	238.43962	144.73533	148.87645
GH42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	300.22109	213.69383	121.96667	303.5508	178.3102	147.29167	146.5702	365.70097	304.6103	367.64378	297.01392	161.80488	143.59168	183.168	155.89499	124.82984	183.05133	336.55072	241.7056	311.48874	97.66435	219.61647	271.83497	185.11942	264.97922	178.09215	240.68516	85.47726	209.76341	130.62185	140.51442	225.7341	237.13211	146.38954	255.26104	197.36584	294.49999	126.56412	193.6116	166.43365	263.42054	178.32258	249.95972	172.1015	264.0927	161.25581	131.9942	108.92491	221.03477	191.0047	155.51265	209.63311	173.5976	254.75458	135.29714	136.22296	116.1745	176.25679
GH43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2495.22582	1147.48658	2136.47379	1797.29729	1947.58867	1250.08453	1219.38876	1573.82946	2973.29286	2022.00484	1898.06863	1972.29776	1973.02307	1108.89825	2297.29126	1960.00903	2342.06709	1674.03112	2886.43298	1678.34937	1243.78094	1570.07221	1489.59844	1161.16694	2989.53915	2261.63108	2028.19331	3369.39318	2360.74314	2011.43743	1472.5761	1603.59219	1435.72311	2126.82309	2365.91737	1519.72967	1920.53748	2560.81562	1607.8262	1939.2128	1370.32921	3014.41364	1688.34437	2112.58321	1798.46562	2995.72608	2231.24402	949.25747	2103.13171	1298.04702	2594.84227	1620.94032	2895.45183	1503.20637	2757.05262	949.05267	1350.78814	1681.59924
GH43_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.51902	9.18796	28.42858	27.50807	11.75766	17.43846	14.41808	47.2936	47.38888	28.42985	39.63369	37.99955	32.79731	16.37248	16.74078	100.20323	73.66598	56.93192	70.76601	24.47547	37.95977	12.87505	14.3952	10.75639	37.52321	60.64301	9.11444	168.08479	33.60028	9.51184	58.57297	19.13573	11.07147	63.13635	20.27432	34.74079	44.50331	93.22693	29.4728	11.67962	29.37155	29.11763	18.75254	46.76197	10.08235	121.17389	117.87129	10.72181	NA	18.20302	34.90165	35.84926	75.5661	6.12978	82.14174	19.30287	23.75565	0.34686
GH43_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	152.85602	92.06325	79.00183	144.48766	170.86523	64.2092	86.54869	245.55478	165.61275	133.8688	114.6942	167.55045	97.579	117.8221	179.47102	175.48189	274.74166	237.56694	161.91955	91.67961	72.12152	110.28382	111.67587	103.08048	173.95104	210.28367	158.28592	277.55539	123.60244	45.6908	114.985	113.72923	100.53257	173.11292	142.18924	159.11611	208.27304	211.15923	115.0828	91.44479	105.34787	220.70465	152.40449	101.38604	123.7124	290.76291	184.44284	49.02069	144.48432	74.18155	211.33322	141.17465	241.05114	97.29958	259.62141	56.1628	67.91165	104.20634
GH43_11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.65424	45.57642	4.66861	37.39932	20.65314	15.18088	11.24685	7.85249	58.05601	39.86966	49.55241	31.9924	8.241	14.75256	18.93118	13.44672	22.34546	12.71051	46.2973	16.35433	10.66688	50.32189	23.30753	37.57577	43.16093	35.20139	33.58323	19.17889	28.18842	12.04427	17.0873	54.73726	27.12476	31.6119	39.98426	27.77647	27.30392	40.73747	18.76652	18.1681	28.38512	24.31919	29.23679	3.39408	37.07119	7.40301	7.48035	11.91946	17.3915	19.91497	17.30217	38.06093	15.22802	19.74503	7.27511	4.43956	8.64954	22.82753
GH43_12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	126.9373	61.42424	43.82208	95.03888	87.76976	35.4918	52.38518	108.60195	73.21496	73.87446	96.1734	81.42718	45.09385	72.34401	100.93055	74.39913	120.8967	87.12961	95.22668	60.43454	54.34878	81.83406	87.46246	61.79342	109.01686	134.61949	85.50896	142.42297	66.49945	39.00577	92.27904	71.59589	87.58313	130.40525	81.175	91.89737	125.01666	122.90494	83.5521	49.89823	58.3572	92.74598	89.95966	59.34809	73.65311	149.79876	110.43461	26.46705	120.75447	53.79254	94.71449	73.93607	100.79373	51.32962	151.1199	39.21763	43.95572	82.53824
GH43_16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.34994	11.4162	18.90763	28.81156	33.74786	13.88848	13.50384	3.67048	39.41821	14.47741	10.35995	17.28423	13.6865	33.34385	56.01745	13.41363	19.27066	17.54351	36.92607	18.89011	28.79432	10.79941	33.29562	15.26184	57.27924	68.0335	46.80786	11.11158	41.74856	30.01312	40.1953	20.72573	63.37094	51.04878	37.84556	26.00422	9.35352	17.56938	25.98403	49.9085	8.29055	66.31358	72.92925	10.13619	52.04118	14.76412	11.60342	9.11595	81.80986	12.1959	54.44903	48.16676	22.55857	32.74608	18.56336	3.37801	7.32793	78.18336
GH43_17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.58194	18.87335	52.5878	21.39866	44.11058	25.43729	17.66343	19.8002	54.44443	28.38473	27.03062	40.07123	58.92769	12.83918	37.89239	12.70793	18.12409	15.05701	72.27914	20.576	10.98866	21.69069	17.62551	19.962	12.71781	33.8405	23.00619	13.95638	41.75556	23.65126	19.31963	11.69013	17.86497	13.72889	10.66434	24.1671	26.09971	17.12124	27.1314	26.05854	14.38212	44.1123	46.6158	47.20782	17.57868	19.19454	43.90727	45.34015	4.51994	19.40349	36.37967	39.17776	60.85366	24.20803	24.66995	13.84613	65.59991	8.86721
GH43_18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.71092	7.53428	18.58668	16.9944	38.16307	19.06215	16.7078	25.82993	55.9549	15.81968	41.64172	48.93136	26.78116	7.84532	58.01503	42.6681	84.82588	17.19267	63.42656	3.43852	20.98019	8.65026	21.86246	14.1465	40.9546	39.18103	27.86872	144.32982	10.08283	11.8148	33.03948	6.0644	11.25016	67.30499	26.77613	15.78601	64.97975	97.60654	17.48295	9.79273	14.12398	37.32119	18.456	39.13878	16.09296	92.22019	8.67223	7.94391	18.67192	7.79487	47.03059	15.84265	81.21627	10.55318	76.76972	7.58067	25.91418	16.40704
GH43_19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.66302	12.3171	61.02518	19.65589	55.45578	24.41885	32.50856	30.43061	111.39247	51.3176	41.87309	55.02117	57.38632	10.93945	68.34113	26.43199	26.299	35.76232	130.16468	52.87291	9.93161	20.63405	27.54548	13.42579	36.37311	50.45998	41.70757	18.19669	54.31586	43.30406	6.76827	40.25929	21.86863	24.90109	33.96058	30.06503	38.30753	22.72235	36.64325	39.33584	13.43851	85.41682	32.71488	55.99619	35.50497	37.39819	13.25741	15.13455	24.84218	22.64882	75.24116	30.93941	108.93554	22.70632	46.42474	8.20874	29.7517	20.93261
GH43_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.36956	3.2017	9.06353	7.99729	9.66969	5.31487	14.03571	34.03786	6.25792	8.5575	8.41771	11.33099	4.85826	3.35097	24.25649	13.3745	68.53	39.1144	9.9411	23.59033	21.72704	2.51633	6.58113	8.62635	57.7631	16.1971	14.69087	128.23679	26.06182	7.67819	36.54994	5.97603	3.30224	60.14861	41.93616	7.74598	2.12726	78.64412	3.88517	8.12616	26.60539	48.10675	11.54517	9.75144	9.68186	103.13845	50.60343	5.98482	11.89136	14.2983	45.47775	12.72183	23.94038	8.97871	91.31785	12.11141	6.15332	9.08866
GH43_22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.22572	30.64698	5.18344	19.12217	15.95974	20.95063	10.48562	12.4897	23.30421	18.65251	10.44798	27.88555	12.0052	23.50051	14.19072	6.06749	8.33081	56.51617	10.53751	15.7382	11.37458	28.27495	26.7962	32.03782	24.67758	31.9908	18.37301	10.15343	30.02158	27.5897	9.80987	34.63374	27.76104	7.38275	16.97277	26.26059	22.3719	13.79796	11.2073	13.1505	15.81015	14.67242	19.57466	14.17936	23.19084	4.76457	8.65122	18.86073	22.52938	13.45625	12.29386	11.7383	14.32137	25.13789	5.55455	18.55391	25.25799	39.399
GH43_24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112.7487	55.69975	259.02671	99.02886	83.57494	67.12353	91.39979	59.9117	189.63461	89.56766	79.28313	127.23223	216.20613	65.31127	106.24772	105.29732	153.23033	80.31343	176.4456	82.34389	48.2201	89.74122	70.06222	55.33407	117.33224	96.47847	87.87335	31.10754	113.2952	106.83231	33.26482	103.99727	59.74576	59.20659	117.54188	78.27064	91.78323	43.80771	90.10202	87.49478	97.02997	110.51872	75.80261	197.61918	78.61686	165.89919	100.71684	45.332	136.53229	131.99038	132.4344	53.86475	172.94722	63.84586	158.91868	47.56553	133.43136	118.03077
GH43_26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.79592	38.02914	30.16073	56.06314	29.30663	23.60324	17.81466	24.17156	48.52531	42.11593	73.63064	19.60797	27.01471	21.66749	31.22855	19.528	20.0926	24.10161	36.21736	10.75016	31.02676	44.41284	38.80692	28.64731	61.63225	73.73025	41.30594	19.11627	30.29376	24.87562	34.88032	35.93633	30.51349	33.65078	46.60263	63.67359	26.54696	24.27988	18.72069	28.64257	21.1685	66.60526	21.23626	21.25222	31.05182	61.86227	19.61905	14.47516	39.6563	16.52291	53.37991	26.78363	32.94977	29.40912	44.73469	25.84658	11.84839	33.54658
GH43_27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.36559	7.33856	0.61345	0.68679	4.55646	2.35484	0.86264	2.17128	8.97307	1.4506	6.01139	6.45226	2.35572	2.48983	6.77928	0.76063	1.66415	13.06701	0.39105	1.63385	3.04114	10.52494	7.05065	8.33717	3.04206	7.94764	12.40399	1.79922	15.56861	4.02508	1.52687	7.51348	5.18434	1.11287	2.97746	0.76777	0.17516	1.55779	10.91893	1.6463	0.21632	7.33243	6.64925	3.88207	7.38575	0.09601	0.31293	2.38348	13.80639	0.20024	11.92065	3.2848	2.35899	5.37535	1.4251	1.71145	4.39777	25.28076
GH43_28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.10047	25.49515	63.97492	59.02701	46.91215	23.62795	27.89009	44.1268	72.89346	100.05231	41.08259	37.58058	59.77368	52.33535	64.74774	24.13591	33.17993	42.57481	76.55876	106.39646	25.38987	30.09097	42.1257	29.47361	117.57122	103.01447	85.76035	30.71441	49.49987	89.23539	19.77257	39.7009	35.17043	46.73702	105.58433	71.26246	44.38919	43.66223	46.842	75.92435	33.98729	66.21883	51.59906	63.39292	88.46963	46.4573	28.82253	27.1935	108.33476	53.53383	60.35723	43.55474	68.04257	78.27558	66.26632	43.70765	15.25382	55.1373
