"","run_accession","secondary_study_accession","sample_accession","secondary_sample_accession","experiment_accession","study_accession","submission_accession","tax_id","scientific_name","instrument_platform","instrument_model","library_name","nominal_length","library_layout","library_strategy","library_source","library_selection","read_count","base_count","center_name","first_public","last_updated","experiment_title","study_title","study_alias","experiment_alias","run_alias","fastq_bytes","fastq_md5","fastq_ftp","fastq_aspera","fastq_galaxy","submitted_bytes","submitted_md5","submitted_ftp","submitted_aspera","submitted_galaxy","submitted_format","sra_bytes","sra_md5","sra_ftp","sra_aspera","sra_galaxy","sample_alias","broker_name","Sample","Week","Intervention","nominal_sdev","Week","bam_ftp","bam_bytes","bam_md5"
"117","ERR5956639","ERP128019","SAMEA8793809","ERS6478159","ERX5597160","PRJEB44020","ERA4412322",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",15610160,1882459115,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP06-01_Week5_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP06-01_Week5_Study1PeaFiber","webin-reads-TP06-01_Week5_Study1PeaFiber","564542209;592434230","c5fcca5d4a6f51a7174a44781b65069b;24e0d50b7aca0e50fa5189c4e03a8dc6","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956639/ERR5956639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956639/ERR5956639_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/009/ERR5956639/ERR5956639_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/009/ERR5956639/ERR5956639_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956639/ERR5956639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956639/ERR5956639_2.fastq.gz","543462989;571110711","8d73e6796865a3041d80aaeefaf93ba2;30d00b322f9ddc418f9fa38309d18e89","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956639/TP06-01_TS1_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956639/TP06-01_TS1_Wk5_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956639/TP06-01_TS1_Wk5_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956639/TP06-01_TS1_Wk5_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956639/TP06-01_TS1_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956639/TP06-01_TS1_Wk5_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP06-01_Week5_Study1PeaFiber",NA,"TP06-01","5","Study1PeaFiber",NA,"2021-05-22","ftp.sra.ebi.ac.uk/vol1/err/ERR595/009/ERR5956639.bam",1150203195,"ecbf9236d26eebab1b14e9b225c27e98"
"118","ERR5956761","ERP128019","SAMEA8793907","ERS6478257","ERX5597282","PRJEB44020","ERA4412441",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",19301716,2419467809,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP06-01_Week5_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP06-01_Week5_Study2OrangeFiber","webin-reads-TP06-01_Week5_Study2OrangeFiber","736758506;843520933","4802d292701c85afa41381625b7d21ee;7ba8d8e370bafe70683c476599030165","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5956761/ERR5956761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5956761/ERR5956761_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/001/ERR5956761/ERR5956761_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/001/ERR5956761/ERR5956761_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5956761/ERR5956761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5956761/ERR5956761_2.fastq.gz","703563691;810745874","96a1250f3aa22186221b2521d8ace7ef;d722960a1d80cc2b6a11e33601537c15","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956761/TP06-01_TS2_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956761/TP06-01_TS2_Wk5_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956761/TP06-01_TS2_Wk5_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956761/TP06-01_TS2_Wk5_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956761/TP06-01_TS2_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956761/TP06-01_TS2_Wk5_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP06-01_Week5_Study2OrangeFiber",NA,"TP06-01","5","Study2OrangeFiber",NA,"2021-05-23","ftp.sra.ebi.ac.uk/vol1/err/ERR595/001/ERR5956761.bam",1591498046,"e8368aff42dd424213349f8a6019eee2"
"119","ERR5956640","ERP128019","SAMEA8793810","ERS6478160","ERX5597161","PRJEB44020","ERA4412323",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",17073590,2105831456,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP06-01_Week8_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP06-01_Week8_Study1PeaFiber","webin-reads-TP06-01_Week8_Study1PeaFiber","633305779;666198010","aa0a2439c181502b5deaee5c273648e4;9bb4f715186c1e1c1e99be5213ca98be","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956640/ERR5956640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956640/ERR5956640_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/000/ERR5956640/ERR5956640_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/000/ERR5956640/ERR5956640_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956640/ERR5956640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956640/ERR5956640_2.fastq.gz","610186016;642827935","ec82faa479045ec7e51dece12079b028;3d9b11158c307d880048e3cabf39983a","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956640/TP06-01_TS1_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956640/TP06-01_TS1_Wk8_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956640/TP06-01_TS1_Wk8_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956640/TP06-01_TS1_Wk8_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956640/TP06-01_TS1_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956640/TP06-01_TS1_Wk8_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP06-01_Week8_Study1PeaFiber",NA,"TP06-01","8","Study1PeaFiber",NA,"2021-05-22","ftp.sra.ebi.ac.uk/vol1/err/ERR595/000/ERR5956640.bam",1292223820,"be7e59d15e892ce87edda8aa01852de7"
"120","ERR5956762","ERP128019","SAMEA8793908","ERS6478258","ERX5597283","PRJEB44020","ERA4412442",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",19602734,2451942790,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP06-01_Week8_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP06-01_Week8_Study2OrangeFiber","webin-reads-TP06-01_Week8_Study2OrangeFiber","746643366;858617009","20b1a44775db5d02dc10fcfdaf6c8edd;626ddfbc109c54ff2987c3581e11f328","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956762/ERR5956762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956762/ERR5956762_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/002/ERR5956762/ERR5956762_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/002/ERR5956762/ERR5956762_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956762/ERR5956762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956762/ERR5956762_2.fastq.gz","712776594;825197322","67938ed9fb4f904370ab7aa78ff2179b;1e1377ca4048c6cd9071d3b74be5743d","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956762/TP06-01_TS2_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956762/TP06-01_TS2_Wk8_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956762/TP06-01_TS2_Wk8_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956762/TP06-01_TS2_Wk8_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956762/TP06-01_TS2_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956762/TP06-01_TS2_Wk8_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP06-01_Week8_Study2OrangeFiber",NA,"TP06-01","8","Study2OrangeFiber",NA,"2021-05-23","ftp.sra.ebi.ac.uk/vol1/err/ERR595/002/ERR5956762.bam",1618141957,"4a1f20ef6aff84aeb55b1702b29c683f"
"121","ERR5956651","ERP128019","SAMEA8793811","ERS6478161","ERX5597172","PRJEB44020","ERA4412325",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16786878,2094806359,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP06-01_Week9_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP06-01_Week9_Study1PeaFiber","webin-reads-TP06-01_Week9_Study1PeaFiber","630100728;666073394","bf6ad65dab4e257fe0dd387ded9852e9;37f9668f3a541d9aca7ec8597ee63fd4","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5956651/ERR5956651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5956651/ERR5956651_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/001/ERR5956651/ERR5956651_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/001/ERR5956651/ERR5956651_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5956651/ERR5956651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5956651/ERR5956651_2.fastq.gz","607406120;643122356","f1a8fe11496ada168bb9c81cfe357a15;29bf2752bc8950fdd1da5c852733e554","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956651/TP06-01_TS1_Wk9_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956651/TP06-01_TS1_Wk9_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956651/TP06-01_TS1_Wk9_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956651/TP06-01_TS1_Wk9_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956651/TP06-01_TS1_Wk9_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956651/TP06-01_TS1_Wk9_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP06-01_Week9_Study1PeaFiber",NA,"TP06-01","9","Study1PeaFiber",NA,"2021-05-22","ftp.sra.ebi.ac.uk/vol1/err/ERR595/001/ERR5956651.bam",1289592297,"6d00722503de13fa72ff5bd11057fe56"
"122","ERR5956652","ERP128019","SAMEA8793812","ERS6478162","ERX5597173","PRJEB44020","ERA4412328",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16825468,2053836960,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP06-02_Week1_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP06-02_Week1_Study1PeaFiber","webin-reads-TP06-02_Week1_Study1PeaFiber","619316636;651932891","2f31590932bdbfd1ea1df3b7d046cb94;b13cc76548eb34e141ee1b607d7455b5","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956652/ERR5956652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956652/ERR5956652_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/002/ERR5956652/ERR5956652_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/002/ERR5956652/ERR5956652_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956652/ERR5956652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956652/ERR5956652_2.fastq.gz","596564678;628915581","4bd6956e62fec382b31cd6d5f695a2f6;a2cdd9df3b70154571b4ce55b43ce619","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956652/TP06-02_TS1_Wk1_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956652/TP06-02_TS1_Wk1_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956652/TP06-02_TS1_Wk1_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956652/TP06-02_TS1_Wk1_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956652/TP06-02_TS1_Wk1_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956652/TP06-02_TS1_Wk1_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP06-02_Week1_Study1PeaFiber",NA,"TP06-02","1","Study1PeaFiber",NA,"2021-05-22","ftp.sra.ebi.ac.uk/vol1/err/ERR595/002/ERR5956652.bam",1264664249,"0fec1740d0faa2e4829e070899b35f41"
"123","ERR5956763","ERP128019","SAMEA8793909","ERS6478259","ERX5597284","PRJEB44020","ERA4412443",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",19175264,2395735698,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP06-02_Week1_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP06-02_Week1_Study2OrangeFiber","webin-reads-TP06-02_Week1_Study2OrangeFiber","729022844;828706804","a74909c169514fa31a788c3d57c8886f;32975d209a6302199c4d74080d0430e0","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956763/ERR5956763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956763/ERR5956763_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/003/ERR5956763/ERR5956763_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/003/ERR5956763/ERR5956763_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956763/ERR5956763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956763/ERR5956763_2.fastq.gz","695639376;795642377","5c4626f73929e91ed5fca8bf42b25b1d;883742f7b29c54aad5ea7246d4773573","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956763/TP06-02_TS2_Wk1_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956763/TP06-02_TS2_Wk1_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956763/TP06-02_TS2_Wk1_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956763/TP06-02_TS2_Wk1_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956763/TP06-02_TS2_Wk1_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956763/TP06-02_TS2_Wk1_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP06-02_Week1_Study2OrangeFiber",NA,"TP06-02","1","Study2OrangeFiber",NA,"2021-05-23","ftp.sra.ebi.ac.uk/vol1/err/ERR595/003/ERR5956763.bam",1567661355,"83606768d0a5071d943f2c94a3b2c673"
"124","ERR5956653","ERP128019","SAMEA8793813","ERS6478163","ERX5597174","PRJEB44020","ERA4412329",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",17383702,2131551695,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP06-02_Week2_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP06-02_Week2_Study1PeaFiber","webin-reads-TP06-02_Week2_Study1PeaFiber","642488119;676330385","2211c7d2c80dc8a5f2b0fd603ad1957d;61baa754b9b18a51a1a87da65ac265fa","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956653/ERR5956653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956653/ERR5956653_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/003/ERR5956653/ERR5956653_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/003/ERR5956653/ERR5956653_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956653/ERR5956653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956653/ERR5956653_2.fastq.gz","618699183;652273144","b80dd925c10d8a4b954142e40278882a;9f0243e6f32ddc6f475e7e671c2fc5c8","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956653/TP06-02_TS1_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956653/TP06-02_TS1_Wk2_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956653/TP06-02_TS1_Wk2_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956653/TP06-02_TS1_Wk2_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956653/TP06-02_TS1_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956653/TP06-02_TS1_Wk2_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP06-02_Week2_Study1PeaFiber",NA,"TP06-02","2","Study1PeaFiber",NA,"2021-05-22","ftp.sra.ebi.ac.uk/vol1/err/ERR595/003/ERR5956653.bam",1312340400,"3f46833671b469e2e5b6cc327ddc5790"
"125","ERR5956764","ERP128019","SAMEA8793910","ERS6478260","ERX5597285","PRJEB44020","ERA4412444",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",19519202,2436713914,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP06-02_Week2_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP06-02_Week2_Study2OrangeFiber","webin-reads-TP06-02_Week2_Study2OrangeFiber","741993322;849883303","16a8040dcf9fbe4de23312ece0db44a3;f296f9ff1a0519cd289489f5667efa0b","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956764/ERR5956764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956764/ERR5956764_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/004/ERR5956764/ERR5956764_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/004/ERR5956764/ERR5956764_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956764/ERR5956764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956764/ERR5956764_2.fastq.gz","709353677;817659764","3d402cb156ecbdfdc1ee7124b6562e12;f846525ab79af388ae30401d8da7fade","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956764/TP06-02_TS2_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956764/TP06-02_TS2_Wk2_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956764/TP06-02_TS2_Wk2_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956764/TP06-02_TS2_Wk2_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956764/TP06-02_TS2_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956764/TP06-02_TS2_Wk2_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP06-02_Week2_Study2OrangeFiber",NA,"TP06-02","2","Study2OrangeFiber",NA,"2021-05-23","ftp.sra.ebi.ac.uk/vol1/err/ERR595/004/ERR5956764.bam",1602854429,"02245514fe44e8fffb5641093249732e"
"126","ERR5956654","ERP128019","SAMEA8793814","ERS6478164","ERX5597175","PRJEB44020","ERA4412330",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16922762,2112566434,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP06-02_Week3_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP06-02_Week3_Study1PeaFiber","webin-reads-TP06-02_Week3_Study1PeaFiber","635487272;670194699","49e8beb72c0a5d08ce307520a00948d6;6f2198c12f35e566f0281860ea381cfe","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956654/ERR5956654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956654/ERR5956654_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/004/ERR5956654/ERR5956654_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/004/ERR5956654/ERR5956654_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956654/ERR5956654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956654/ERR5956654_2.fastq.gz","612532864;647045988","3f82733da5a3800cc2736b39376bd6f0;681375169e4916bac2178788d86579ce","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956654/TP06-02_TS1_Wk3_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956654/TP06-02_TS1_Wk3_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956654/TP06-02_TS1_Wk3_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956654/TP06-02_TS1_Wk3_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956654/TP06-02_TS1_Wk3_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956654/TP06-02_TS1_Wk3_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP06-02_Week3_Study1PeaFiber",NA,"TP06-02","3","Study1PeaFiber",NA,"2021-05-22","ftp.sra.ebi.ac.uk/vol1/err/ERR595/004/ERR5956654.bam",1299312723,"d2bab02cad297dc72234a84b92d5b5a4"
