Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25368258,AMPLICON,502,56718470,PRJNA944997,SAMN36658526,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",38854249,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107423,USA,North America,USA,Homo sapiens,Illumina MiSeq,323TP05,42.4440 N 76.5019 W,323TP05,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,323TP05,SRP450576
SRR25368259,AMPLICON,502,31819270,PRJNA944997,SAMN36658116,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",18959081,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107422,USA,North America,USA,Homo sapiens,Illumina MiSeq,359TP03,42.4440 N 76.5019 W,359TP03,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,359TP03,SRP450576
SRR25368260,AMPLICON,502,44139856,PRJNA944997,SAMN36658429,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",28381727,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107421,USA,North America,USA,Homo sapiens,Illumina MiSeq,359TP02,42.4440 N 76.5019 W,359TP02,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,359TP02,SRP450576
SRR25368261,AMPLICON,502,22959472,PRJNA944997,SAMN36658014,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14229185,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107420,USA,North America,USA,Homo sapiens,Illumina MiSeq,359TP01,42.4440 N 76.5019 W,359TP01,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,359TP01,SRP450576
SRR25368262,AMPLICON,502,21830976,PRJNA944997,SAMN36658645,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12645286,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107419,USA,North America,USA,Homo sapiens,Illumina MiSeq,358TP12,42.4440 N 76.5019 W,358TP12,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,358TP12,SRP450576
SRR25368263,AMPLICON,502,22088000,PRJNA944997,SAMN36658644,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12802703,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107418,USA,North America,USA,Homo sapiens,Illumina MiSeq,358TP11,42.4440 N 76.5019 W,358TP11,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,358TP11,SRP450576
SRR25368264,AMPLICON,502,44373286,PRJNA944997,SAMN36658734,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",29482812,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107417,USA,North America,USA,Homo sapiens,Illumina MiSeq,358TP10.2,42.4440 N 76.5019 W,358TP10.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,358TP10.2,SRP450576
SRR25368265,AMPLICON,502,26711420,PRJNA944997,SAMN36658115,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15597871,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107416,USA,North America,USA,Homo sapiens,Illumina MiSeq,358TP10,42.4440 N 76.5019 W,358TP10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,358TP10,SRP450576
SRR25368266,AMPLICON,502,19468062,PRJNA944997,SAMN36658114,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11475543,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107415,USA,North America,USA,Homo sapiens,Illumina MiSeq,358TP09.rerun,42.4440 N 76.5019 W,358TP09.rerun,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,358TP09.rerun,SRP450576
SRR25368267,AMPLICON,502,37602310,PRJNA944997,SAMN36658428,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",24120871,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107414,USA,North America,USA,Homo sapiens,Illumina MiSeq,358TP08,42.4440 N 76.5019 W,358TP08,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,358TP08,SRP450576
SRR25368268,AMPLICON,502,43058046,PRJNA944997,SAMN36658800,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",29071259,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107413,USA,North America,USA,Homo sapiens,Illumina MiSeq,358TP07.2,42.4440 N 76.5019 W,358TP07.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,358TP07.2,SRP450576
SRR25368269,AMPLICON,502,30145602,PRJNA944997,SAMN36658055,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",19595143,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107412,USA,North America,USA,Homo sapiens,Illumina MiSeq,323TP04,42.4440 N 76.5019 W,323TP04,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,323TP04,SRP450576
SRR25368270,AMPLICON,502,23726026,PRJNA944997,SAMN36658346,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14110544,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107411,USA,North America,USA,Homo sapiens,Illumina MiSeq,358TP07,42.4440 N 76.5019 W,358TP07,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,358TP07,SRP450576
SRR25368271,AMPLICON,502,51971558,PRJNA944997,SAMN36658345,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",32303671,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107410,USA,North America,USA,Homo sapiens,Illumina MiSeq,358TP06,42.4440 N 76.5019 W,358TP06,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,358TP06,SRP450576
SRR25368272,AMPLICON,502,29231962,PRJNA944997,SAMN36658558,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17491539,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107409,USA,North America,USA,Homo sapiens,Illumina MiSeq,358TP05,42.4440 N 76.5019 W,358TP05,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,358TP05,SRP450576
SRR25368273,AMPLICON,502,44820066,PRJNA944997,SAMN36658396,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",28803169,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107408,USA,North America,USA,Homo sapiens,Illumina MiSeq,322TP08,42.4440 N 76.5019 W,322TP08,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,322TP08,SRP450576
SRR25368274,AMPLICON,502,34888498,PRJNA944997,SAMN36658102,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20931776,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107407,USA,North America,USA,Homo sapiens,Illumina MiSeq,351TP03,42.4440 N 76.5019 W,351TP03,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,351TP03,SRP450576
SRR25368275,AMPLICON,502,40418028,PRJNA944997,SAMN36658422,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",26012711,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107406,USA,North America,USA,Homo sapiens,Illumina MiSeq,351TP02,42.4440 N 76.5019 W,351TP02,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,351TP02,SRP450576
SRR25368276,AMPLICON,502,29669706,PRJNA944997,SAMN36658007,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",18038384,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107405,USA,North America,USA,Homo sapiens,Illumina MiSeq,351TP01,42.4440 N 76.5019 W,351TP01,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,351TP01,SRP450576
