Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environmental_package,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id
ERR7959273,AMPLICON,452,47202795,PRJEB49980,SAMEA12221267,25651667,UNIVERSITY OF LUBECK,human,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526494,SAMEA12221267,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-23T02:49:00Z,1,SAMEA12221267,1201713416,Illumina MiSeq,ERP134527,1201713416
ERR7959274,AMPLICON,551,17507887,PRJEB49980,SAMEA12221268,10440001,UNIVERSITY OF LUBECK,human,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526495,SAMEA12221268,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221268,1201713417,Illumina MiSeq,ERP134527,1201713417
ERR7959275,AMPLICON,551,58901192,PRJEB49980,SAMEA12221269,34900280,UNIVERSITY OF LUBECK,human,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526496,SAMEA12221269,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-14T20:48:00Z,1,SAMEA12221269,1201713418,Illumina MiSeq,ERP134527,1201713418
ERR7959276,AMPLICON,551,16105711,PRJEB49980,SAMEA12221270,9542816,UNIVERSITY OF LUBECK,human,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526497,SAMEA12221270,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-19T19:32:00Z,1,SAMEA12221270,1201713419,Illumina MiSeq,ERP134527,1201713419
ERR7959277,AMPLICON,499,38749225,PRJEB49980,SAMEA12221271,23989371,UNIVERSITY OF LUBECK,human,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526498,SAMEA12221271,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221271,1201713420,Illumina MiSeq,ERP134527,1201713420
ERR7959278,AMPLICON,499,39980472,PRJEB49980,SAMEA12221272,24559436,UNIVERSITY OF LUBECK,human,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526499,SAMEA12221272,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-13T08:05:00Z,1,SAMEA12221272,1201713421,Illumina MiSeq,ERP134527,1201713421
ERR7959279,AMPLICON,551,14101342,PRJEB49980,SAMEA12221273,8499384,UNIVERSITY OF LUBECK,human,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526500,SAMEA12221273,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221273,1201713422,Illumina MiSeq,ERP134527,1201713422
ERR7959280,AMPLICON,499,38195979,PRJEB49980,SAMEA12221274,23815763,UNIVERSITY OF LUBECK,human,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526501,SAMEA12221274,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221274,1201713423,Illumina MiSeq,ERP134527,1201713423
ERR7959281,AMPLICON,499,38550962,PRJEB49980,SAMEA12221275,23563568,UNIVERSITY OF LUBECK,human,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526502,SAMEA12221275,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-16T16:16:00Z,1,SAMEA12221275,1201713424,Illumina MiSeq,ERP134527,1201713424
ERR7959282,AMPLICON,499,45647115,PRJEB49980,SAMEA12221276,28579189,UNIVERSITY OF LUBECK,human,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526503,SAMEA12221276,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-20T19:09:00Z,1,SAMEA12221276,1201713425,Illumina MiSeq,ERP134527,1201713425
ERR7959283,AMPLICON,499,31180707,PRJEB49980,SAMEA12221277,19921008,UNIVERSITY OF LUBECK,human,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526504,SAMEA12221277,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-28T11:58:00Z,1,SAMEA12221277,1201713426,Illumina MiSeq,ERP134527,1201713426
ERR7959284,AMPLICON,499,33084982,PRJEB49980,SAMEA12221278,20598837,UNIVERSITY OF LUBECK,human,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526505,SAMEA12221278,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-19T18:32:00Z,1,SAMEA12221278,1201713427,Illumina MiSeq,ERP134527,1201713427
ERR7959285,AMPLICON,551,58483376,PRJEB49980,SAMEA12221279,34333713,UNIVERSITY OF LUBECK,human,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526506,SAMEA12221279,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-23T01:46:00Z,1,SAMEA12221279,1201713428,Illumina MiSeq,ERP134527,1201713428
ERR7959286,AMPLICON,499,30763363,PRJEB49980,SAMEA12221280,19463684,UNIVERSITY OF LUBECK,human,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526507,SAMEA12221280,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:00:00Z,1,SAMEA12221280,1201713429,Illumina MiSeq,ERP134527,1201713429
ERR7959287,AMPLICON,499,51505172,PRJEB49980,SAMEA12221281,31666076,UNIVERSITY OF LUBECK,human,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2022-01-28,2022-01-28,2022-01-28,2022-01-28,microbiome,ERX7526508,SAMEA12221281,University of Lubeck,University of Lubeck,2022-01-28T00:21:27Z,2022-01-28T00:21:27Z,public,Illumina MiSeq,microbiome,PAIRED,PCR,OTHER,Homo sapiens,ILLUMINA,2022-01-29T00:00:00Z,2022-07-27T12:02:00Z,1,SAMEA12221281,1201713430,Illumina MiSeq,ERP134527,1201713430
