feature	ERR1995525	ERR1999767	ERR1999768	ERR1999769	ERR1999770	ERR1999771	ERR1999772	ERR1999773	ERR1999774	ERR1999775	ERR1999776	ERR1999777	ERR1999778	ERR1999779	ERR1999780	ERR1999781	ERR1999782	ERR1999783	ERR1999784	ERR1999785	ERR1999786	ERR1999787	ERR1999788	ERR1999789	ERR1999790	ERR1999791	ERR1999792	ERR1999793	ERR1999794	ERR1999795	ERR1999796	ERR1999797	ERR1999798	ERR1999799	ERR1999800	ERR1999801	ERR1999802	ERR1999803	ERR1999804	ERR1999805	ERR1999806	ERR1999807	ERR1999808	ERR1999809	ERR1999810	ERR1999811	ERR1999812	ERR1999813	ERR1999814	ERR1999815	ERR1999816	ERR1999817	ERR1999818	ERR1999819	ERR1999820	ERR1999821	ERR1999822	ERR1999823	ERR1999824	ERR1999825	ERR1999826	ERR1999827	ERR1999828	ERR1999829	ERR1999830	ERR1999831	ERR1999832	ERR1999833	ERR1999834	ERR1999835	ERR1999836	ERR1999837	ERR1999838	ERR1999839	ERR1999840	ERR1999841	ERR1999842	ERR1999843	ERR1999844
ko:K20071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6816	0.67587	NA	NA	0.34234	NA	0.35386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20073	NA	9.32436	4.93616	2.03354	1.19038	12.78721	9.36296	52.94593	33.13663	8.87556	2.00259	4.42021	3.67879	2.74976	1.2121	2.60833	0.97779	2.90942	16.15816	0.39054	NA	0.96687	13.01744	2.51102	0.92793	0.77764	4.16003	0.8708	0.38556	1.58352	0.82652	10.82808	18.91096	8.9666	6.92934	0.47874	4.82115	1.59111	1.18395	0.26975	2.0088	4.07573	1.31082	6.16988	2.64511	2.46972	5.15452	0.87745	1.25097	2.05682	0.31044	3.31439	3.91355	13.42763	1.35163	0.68357	0.27543	4.53415	0.59158	3.59098	29.46136	13.31095	9.10618	28.02758	86.24118	32.51631	228.89946	3.85616	2.86633	14.47946	1.01391	2.52849	86.29469	16.6093	22.75264	0.53079	6.13858	3.49686	4.39266
ko:K20074	11.63063	1747.99429	1810.19092	334.50153	297.3624	227.85289	1801.02562	1336.28407	855.92914	940.1425	325.94686	539.77593	1347.18929	425.87212	186.97979	1058.20916	1041.19106	1037.47123	407.18835	652.04969	695.70457	1214.82132	1728.104	791.70076	406.59289	661.08503	574.79223	438.83378	464.51265	344.22216	443.05654	2155.80755	1705.66206	1058.29734	1006.73337	411.50778	1203.86452	653.17073	425.84569	208.73659	626.53984	928.03126	558.57811	1015.3114	661.81863	725.03341	489.23103	355.02672	884.71848	884.22134	191.05309	692.28864	969.78444	1703.56249	788.00474	564.72938	201.85662	1143.37854	585.60367	372.37793	606.55593	387.28997	612.50056	1058.92008	972.65789	416.42427	2596.6004	386.86489	297.72805	1000.10988	326.30683	340.23435	3179.80236	2498.91708	544.18363	416.34195	1224.31345	935.40755	649.64086
ko:K20091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.08887	9.369	0.99778	0.69498	NA	0.63833	4.02888	NA	2.38976	0.57641	0.39737	5.39832	NA	NA	NA	NA	NA	0.43413	NA	NA	1.31253	1.74201	2.16442	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98171	1.36599	0.97007	1.69288	4.32914	0.18341	3.18709	NA	0.17495	1.36899	1.51858	0.6279	NA	NA	NA	NA	0.44392	NA	NA	NA	NA	NA	NA	NA	2.85832	0.73786	1.21355	0.65924	NA	NA	NA	NA	NA	NA	0.6544	NA
ko:K20092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.19017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20093	NA	NA	NA	NA	NA	0.76365	NA	NA	NA	NA	NA	3.34035	8.95742	1.06755	0.99603	3.7792	5.04161	2.02456	NA	5.68587	0.87962	1.15584	2.71965	NA	NA	NA	NA	1.06221	NA	0.41478	1.57121	11.91494	3.96862	3.81573	2.11496	NA	NA	NA	NA	NA	NA	NA	NA	1.53082	0.1307	0.40724	NA	3.68236	0.40579	2.63129	NA	0.12902	NA	0.34344	0.54148	0.77426	NA	NA	NA	2.35293	NA	1.02831	2.63944	NA	NA	NA	NA	1.14683	1.22293	2.71853	NA	NA	NA	NA	NA	2.39056	NA	NA	NA
ko:K20095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.66474	NA	NA	NA	NA	NA	NA	0.25167	NA	NA	NA	NA	NA	NA	NA	NA	0.23935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93552	0.5135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86663	NA	1.947	4.59818	NA	NA	NA	0.75205	1.21884	NA	1.0315	1.02205	2.09745	3.55214	NA	NA	NA	NA	NA	NA	NA	NA	7.00238	2.43902	2.27905	3.30008	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.83855	0.74427	NA	NA	NA	2.6067	NA	NA	NA	0.48484	NA	NA	NA	NA	NA	0.58039	NA	NA	0.75094	0.97377	NA	NA	NA	0.73819	NA	NA	0.99288	NA	NA	NA	NA	1.69856	0.44405	NA	0.72217
ko:K20101	0.64715	NA	NA	NA	NA	NA	NA	NA	NA	2.73471	1.66928	2.71544	6.18073	0.61218	NA	3.35189	1.59581	1.74063	NA	0.99173	0.62274	0.63899	4.88177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61185	4.94799	2.70544	1.12809	0.5506	NA	1.35421	NA	0.69228	0.68678	1.27378	1.549	NA	NA	NA	NA	2.42227	NA	NA	NA	NA	NA	NA	NA	1.27344	2.30241	1.73566	0.60496	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20103	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6821	2.85077	3.66132	3.30974	1.65344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.35492	1.52296	0.7569	1.50853	NA	NA	NA	NA	NA	NA	NA	NA	1.27717	11.73624	NA	NA	11.99222	NA	3.40933	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77619	NA	NA	NA	14.66477	NA	NA	NA	1.35205	NA	0.45629	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20107	0.05202	114.11574	122.55909	20.42771	16.75438	17.18679	75.38997	64.24249	38.25991	48.59367	12.01394	13.74261	22.88102	8.1844	4.30077	74.21823	49.98342	58.92085	37.06798	22.63222	28.70062	36.82479	116.05115	47.58725	18.53437	21.34142	30.62635	20.64381	17.58398	18.46592	26.63358	132.79771	106.20011	70.83328	59.91922	28.76012	57.61246	31.85159	17.21205	20.0782	107.68795	117.80836	90.94392	18.3218	14.80428	23.01223	17.26438	16.84814	18.86136	32.02842	6.45929	56.20656	91.02466	122.4161	66.82027	47.62835	12.02009	36.25273	28.80775	32.82562	66.86751	40.19493	46.88006	74.24155	131.80463	35.90224	346.50413	24.0829	12.37832	47.9232	16.6549	12.00828	164.45474	118.81175	41.65703	16.72611	62.72958	70.40067	53.8113
ko:K20108	0.05202	114.11574	122.55909	20.42771	16.75438	17.18679	75.38997	64.24249	38.25991	48.59367	12.01394	13.74261	22.88102	8.1844	4.30077	74.21823	49.98342	58.92085	37.06798	22.63222	28.70062	36.82479	116.05115	47.58725	18.53437	21.34142	30.62635	20.64381	17.58398	18.46592	26.63358	132.79771	106.20011	70.83328	59.91922	28.76012	57.61246	31.85159	17.21205	20.0782	107.68795	117.80836	90.94392	18.3218	14.80428	23.01223	17.26438	16.84814	18.86136	32.02842	6.45929	56.20656	91.02466	122.4161	66.82027	47.62835	12.02009	36.25273	28.80775	32.82562	66.86751	40.19493	46.88006	74.24155	131.80463	35.90224	346.50413	24.0829	12.37832	47.9232	16.6549	12.00828	164.45474	118.81175	41.65703	16.72611	62.72958	70.40067	53.8113
ko:K20109	NA	1.75057	1.87574	1.82413	0.54821	NA	1.1735	1.75033	0.8149	0.18151	NA	0.74144	0.25957	0.07612	NA	0.19356	1.56967	0.19235	0.06362	0.11289	1.18485	0.81052	0.78437	0.44227	0.68089	0.4264	0.10552	NA	NA	0.56344	0.28974	0.75214	0.78667	0.45925	0.83757	0.57412	1.23977	4.74169	1.12454	0.10585	2.81631	7.53186	0.32853	NA	0.64918	0.24729	0.27263	NA	NA	1.05168	0.55363	0.55502	2.03216	NA	NA	0.31973	NA	1.39533	0.37896	0.3735	0.59923	0.20229	2.42177	1.21078	0.29848	0.45617	1.3894	0.75556	1.55384	11.94573	1.57083	0.10679	1.86062	1.91107	0.8243	NA	0.7964	0.69832	0.60209
ko:K20112	NA	2.24445	2.86144	NA	NA	1.21873	1.75175	4.11939	NA	NA	NA	NA	0.78909	NA	NA	NA	NA	NA	0.87963	NA	NA	NA	0.80577	NA	NA	NA	NA	NA	NA	4.63042	NA	2.34987	0.76753	1.56076	0.73234	0.76344	0.80671	NA	NA	NA	0.74966	NA	NA	NA	NA	NA	NA	NA	0.81813	NA	NA	2.17912	NA	NA	NA	1.15032	NA	NA	NA	NA	0.78977	NA	0.79672	7.41929	4.32231	2.76812	15.92525	3.51896	3.15742	2.39939	3.48675	1.53224	3.7898	4.37114	0.78246	0.75199	2.49356	NA	NA
ko:K20113	NA	0.43421	3.14789	NA	0.17376	NA	3.26767	0.65542	1.28534	0.42435	NA	0.61565	0.74828	0.22693	NA	0.22626	NA	3.2736	NA	0.23298	0.23084	0.23687	0.99332	NA	NA	NA	1.17551	0.65381	0.21856	NA	0.2883	2.40822	5.99627	0.39228	0.21718	NA	NA	0.91154	NA	0.5097	0.42395	NA	0.42822	0.22681	NA	0.29771	0.22367	NA	NA	NA	NA	1.89652	2.58552	0.65705	NA	0.21626	NA	NA	NA	NA	1.19084	1.62555	0.22528	1.60485	4.14146	1.42874	8.51973	0.62963	0.64743	4.06162	5.97513	NA	1.42353	3.56805	2.7741	NA	1.32343	0.23129	NA
ko:K20114	NA	38.67054	19.70711	15.01618	6.7401	5.22216	57.12165	11.06145	23.69562	8.6022	5.61462	12.92841	17.00575	4.91531	2.24109	15.91133	11.06146	17.84709	11.55887	8.08009	7.28005	13.03814	25.16263	13.05192	15.7155	36.15124	20.76325	13.5736	21.71159	20.21711	4.62891	49.95969	107.84534	28.27118	19.31299	19.26089	58.17765	29.92469	8.37559	7.2877	8.93718	11.88257	12.48388	6.80353	2.8061	6.01978	3.91325	9.13643	2.86588	3.01357	1.30405	23.24625	36.80512	60.2378	24.93107	9.5704	0.82625	11.20708	5.54743	3.506	25.97894	3.65514	6.56104	20.25815	12.9942	2.41942	47.4478	15.40115	5.30776	8.3904	8.07807	4.45387	16.81966	29.43964	19.80538	11.4053	8.85003	13.92201	13.91624
ko:K20116	5.10351	723.1324	662.79146	163.71301	96.81916	118.80296	797.1642	482.08671	521.13531	284.22829	107.04013	196.37908	326.30506	130.12097	71.54972	393.68445	328.88902	434.21284	175.32857	183.38461	204.17535	212.19474	620.2883	343.0876	180.58247	280.00582	255.13484	182.62058	214.16308	136.57253	151.89812	917.25054	745.6026	450.08852	409.63178	126.36827	440.30589	254.32726	145.5704	77.01708	171.85688	225.71826	157.96511	340.37078	260.88426	303.20895	72.48178	134.5963	230.8146	257.76261	56.72439	277.49515	498.62229	757.34502	346.82041	152.88497	113.2304	261.31159	205.45589	152.57233	259.60717	99.19048	204.09702	283.54083	230.70368	121.95654	758.78037	191.92856	103.98859	210.94076	137.05536	66.33767	783.21034	728.52495	185.84201	145.87839	271.55045	264.0104	261.4991
